source,f1_macro,balanced_acc,auroc
Android_2k,0.4298745724059293,0.3819655521783181,0.04399501208011847
Apache_2k,0.23076923076923078,0.2099370188943317,0.299117970388218
BGL_2k,0.5017438963627304,0.5059263880224579,0.291448975878561
Hadoop_2k,0.68147698671229,0.7568702290076336,0.9931032193826752
HealthApp_2k,0.4879672299027138,0.4791352438411262,0.0
HPC_2k,0.22690374951681486,0.26441441441441443,0.047691061848365225
Linux_2k,0.07570052697073852,0.5152151101783841,0.9361702127659575
Mac_2k,0.5054239597526465,0.5072754900067943,0.5198906134167316
Proxifier_2k,0.7810005839984426,0.8786777253495566,0.9644294683922834
Spark_2k,0.4910861540878033,0.8145080321285141,0.7848268072289156
Thunderbird_2k,0.9767497680105529,0.9952908587257618,0.9999971588891257
Windows_2k,0.8061781582514717,0.7897490272597323,0.9944443224488899
Zookeeper_2k,0.36606098405489645,0.3841063937868877,0.07903205534404116
