source,f1_macro,balanced_acc,auroc
Android_2k,0.9047256097560976,0.9969604863221885,1.0
Apache_2k,0.2469879518072289,0.22953114065780267,0.003737932910844788
BGL_2k,1.0,1.0,0.9999999999999999
Hadoop_2k,0.3721953173691826,0.545430910498949,0.6176983073348821
HealthApp_2k,0.4967287367891293,0.4962292609351433,0.5620000914118561
HPC_2k,0.35815031773003253,0.500561797752809,0.739758072679421
Linux_2k,0.004975124378109453,0.0026232948583420775,0.0008679198946216874
Mac_2k,0.6047729358438874,0.6132671393684112,0.7263286814804771
Proxifier_2k,0.933231272564253,0.9926431949553337,0.9993390793700669
Spark_2k,1.0,1.0,1.0
Thunderbird_2k,0.9971588891256482,0.9971588891256482,0.9999971588891257
Windows_2k,0.9958191183356746,0.9960358415967894,0.9991414998551739
Zookeeper_2k,0.615494941755274,0.6542372126880718,0.6559169629905054
