source,f1_macro,balanced_acc,auroc
Android_2k,0.4958600507500882,0.49896734471202553,0.6036552100381889
Apache_2k,0.22869263401465484,0.20748775367389782,0.3758656991343928
BGL_2k,0.6973722648474416,0.7655307756290288,0.8420539613225203
Hadoop_2k,0.48826886116020163,0.6221761256776192,0.9668326142272374
HealthApp_2k,0.49443882709807885,0.4917043740573152,0.0
HPC_2k,0.3373094764744864,0.45855855855855854,0.006888349023180487
Linux_2k,0.08695526080777957,0.5209863588667366,0.9249179522671965
Mac_2k,0.5177117511240734,0.5245368166470403,0.7166073947216773
Proxifier_2k,0.5288166855274232,0.5422745420957685,0.8477607250624354
Spark_2k,0.5223398001175779,0.7248995983935743,0.9533760040160643
Thunderbird_2k,0.9902124663815698,0.9980609418282549,1.0
Windows_2k,0.869141980672549,0.8529836801318389,0.9272857697065519
Zookeeper_2k,0.3564993564993565,0.3728129205921938,0.0619622311483051
