source,f1_macro,balanced_acc,auroc
Android_2k,0.4967287367891293,0.5,0.6044637986127348
Apache_2k,0.4136616827909704,0.49370188943317006,0.12243691165855149
BGL_2k,0.48650398517559335,0.5010397171969224,0.6651623258473696
Hadoop_2k,0.3957703927492447,0.5,0.5
HealthApp_2k,0.4910941475826972,0.48516842634489693,0.1786644727821199
HPC_2k,0.3401517650940284,0.4644144144144144,0.33138576779026213
Linux_2k,0.056777583748538106,0.5057712486883525,0.1626107923466768
Mac_2k,0.46688375996221776,0.512580488746682,0.688255606762455
Proxifier_2k,0.45508489922135087,0.4605993791679984,0.6491432410030824
Spark_2k,0.48213360952874157,0.46736947791164657,0.7678840361445782
Thunderbird_2k,0.9767497680105529,0.9952908587257618,0.9993920022728887
Windows_2k,0.38008669393659034,0.500242074035965,0.9775514237404047
Zookeeper_2k,0.43227054082884064,0.5025818141826961,0.5072008002052882
