source,f1_macro,balanced_acc,auroc
Android_2k,0.6231093478799901,0.9663120567375887,0.9929954796976074
Apache_2k,0.4675798192892143,0.5196235350060481,0.9397053038204125
BGL_2k,0.6373864382527906,0.6366448326055313,0.8877446584529007
Hadoop_2k,0.37843233513336605,0.5225965261643987,0.588479920345171
HealthApp_2k,0.4855440990978427,0.9165409753645049,0.9924585218702866
HPC_2k,0.3063376958891317,0.3915477275027837,0.3457723453790869
Linux_2k,0.04897765097479791,0.0270199370409234,0.009572235493737582
Mac_2k,0.4808646350106308,0.4904563080038496,0.6061058700595864
Proxifier_2k,0.9893729509721093,0.998949027850762,1.0
Spark_2k,0.5480371900826446,0.9718875502008032,0.9957329317269077
Thunderbird_2k,0.7146302761028245,0.8123801406349882,0.9239051068967967
Windows_2k,0.3683265558488502,0.4762553081137152,0.931802567971566
Zookeeper_2k,0.5337109698811826,0.5507800430476928,0.875221915569963
