source,f1_macro,balanced_acc,auroc
Android_2k,0.4991055456171735,0.5126256722001403,0.461187748421791
Apache_2k,0.2548435171385991,0.23932820153953813,0.014302189203133966
BGL_2k,0.5819522828391412,0.5704278436265335,0.7010455656061552
Hadoop_2k,0.41502400949550866,0.5793893129770993,0.987496404469521
HealthApp_2k,0.48586118251928023,0.4751131221719457,0.0
HPC_2k,0.35001624959376015,0.4851351351351351,0.132247191011236
Linux_2k,0.15229376308542986,0.5569254984260231,0.8201926726351276
Mac_2k,0.5400803176811074,0.5413412604954083,0.6943314109867047
Proxifier_2k,0.545204474601137,0.5304023489769274,0.9738177917666625
Spark_2k,0.7620275254828859,0.8109939759036144,0.9863830321285141
Thunderbird_2k,0.9929774047999438,0.9986149584487535,1.0
Windows_2k,0.8534974947229629,0.8369858802345242,0.9922891838392837
Zookeeper_2k,0.42246606988160557,0.49226110363391656,0.07165974517022691
