test_source,f1_macro,balanced_acc,auroc,mcc,test_samples,prototypes
Apache_2k,0.9793378133815613,0.983371713529724,0.9786778502351222,0.9588601391960807,2000,2
Zookeeper_2k,0.773072820931763,0.8093738707836042,0.91429738519306,0.5655820551166196,2000,2
Thunderbird_2k,0.6656995413045812,0.7986788834434264,0.8641920590951062,0.41172293275067423,2000,2
Proxifier_2k,0.5653349597431542,0.8360618881743964,0.7984462947814357,0.32228012816961876,2000,2
HealthApp_2k,0.4832428679626357,0.6629187805658394,0.7671740024681201,0.07153932463727476,2000,2
Mac_2k,0.47300007268964517,0.5349684824564377,0.5773561519267927,0.05770885210024212,2000,2
Hadoop_2k,0.4479508848486322,0.5421285540435888,0.29296603606593646,0.09488818596739895,2000,2
Spark_2k,0.4115666529070598,0.8330823293172691,0.9583960843373495,0.08898734628877876,2000,2
Android_2k,0.4055758917067352,0.6045709609539396,0.656398565973034,0.049054558773151145,2000,2
Windows_2k,0.37894373606413845,0.4936485628749403,0.32702790596024967,-0.05286532665929836,2000,2
BGL_2k,0.3397160779135028,0.2808406113537118,0.13490980453316698,-0.24802908072072644,2000,2
Linux_2k,0.28125454524221294,0.5841240427764507,0.7102263847647966,0.07863380112731262,2000,2
HPC_2k,0.22153133580662707,0.25517764955967204,0.15281303775685795,-0.5455869377664082,2000,2
