Model,F1-Macro,F1-Weighted,Balanced Acc,Geometric Mean,IBA,MCC
LR,0.9927804697267046,0.9939821966383461,0.9899159663865547,0.9898646032529445,1.0879042439186528,0.9856643101758447
SVM,0.9927804697267046,0.9939821966383461,0.9899159663865547,0.9898646032529445,1.0879042439186528,0.9856643101758447
NB,0.9643081755200853,0.9705672723200055,0.9517449684500134,0.9505567425236642,1.0422137281423267,0.9308945209868986
KNN,0.9506187382849649,0.9586085029773034,0.953021920511977,0.9529259283883331,1.0438378503498078,0.9013182370191974
GB,0.48530412745063306,0.6272598225791112,0.5361344537815126,0.26882876996896227,0.5505472903563192,0.22778152394344944
XGB,0.41800907984482866,0.5832392120314825,0.5025210084033613,0.07100716024967263,0.5060892673806138,0.059559531675818726
RF,0.41262848751835535,0.5797430249632892,0.5,1e-05,0.5000005,0.0
DT,0.2581179021856988,0.34765565257090686,0.2432010526630581,0.13908657774471017,0.24658365287493966,-0.4783984217732308
